Year,Month,Export Amount
2012,يناير,"4,377,578"
2012,فبراير,"3,689,489"
2012,مارس,"3,421,385"
2012,إبريل,"2,849,443"
2012,مايو,"4,826,633"
2012,يونيو,"3,262,310"
2012,يوليو,"2,657,712"
2012,أغسطس,"2,716,089"
2012,سبتمبر,"3,643,823"
2012,أكتوبر,"2,823,729"
2012,نوفمبر,"3,327,586"
2012,ديسمبر,"4,238,219"
2013,يناير,"3,452,226"
2013,فبراير,"3,723,011"
2013,مارس,"4,757,686"
2013,إبريل,"4,054,656"
2013,مايو,"3,812,774"
2013,يونيو,"1,610,578"
2013,يوليو,"3,022,338"
2013,أغسطس,"3,358,413"
2013,سبتمبر,"4,065,137"
2013,أكتوبر,"3,707,913"
2013,نوفمبر,"6,308,028"
2013,ديسمبر,"3,217,797"
2014,يناير,"3,826,142"
2014,فبراير,"3,545,297"
2014,مارس,"5,437,804"
2014,إبريل,"6,036,745"
2014,مايو,"2,880,423"
2014,يونيو,"4,980,528"
2014,يوليو,"2,897,768"
2014,أغسطس,"3,478,166"
2014,سبتمبر,"4,115,423"
2014,أكتوبر,"5,013,667"
2014,نوفمبر,"3,949,503"
2014,ديسمبر,"3,745,604"
2015,يناير,"2,632,687"
2015,فبراير,"4,373,147"
2015,مارس,"4,531,082"
2015,إبريل,"3,345,969"
2015,مايو,"4,034,279"
2015,يونيو,"4,149,373"
2015,يوليو,"3,709,095"
2015,أغسطس,"6,624,011"
2015,سبتمبر,"4,911,859"
2015,أكتوبر,"4,454,609"
2015,نوفمبر,"2,088,943"
2015,ديسمبر,"5,087,967"
2016,يناير,"2,215,622"
2016,فبراير,"2,311,864"
2016,مارس,"3,140,380"
2016,إبريل,"3,081,588"
2016,مايو,"3,728,523"
2016,يونيو,"4,017,300"
2016,يوليو,"4,959,947"
2016,أغسطس,"4,428,432"
2016,سبتمبر,"3,932,676"
2016,أكتوبر,"2,868,928"
2016,نوفمبر,"3,001,428"
2016,ديسمبر,"4,951,653"
2017,يناير,"16,503,639"
2017,فبراير,"4,723,228"
2017,مارس,"3,635,988"
2017,إبريل,"5,339,718"
2017,مايو,"3,616,031"
2017,يونيو,"3,336,028"
2017,يوليو,"4,125,386"
2017,أغسطس,"7,344,417"
2017,سبتمبر,"4,022,078"
2017,أكتوبر,"5,285,348"
2017,نوفمبر,"4,578,917"
2017,ديسمبر,"6,796,345"
2018,يناير,"6,491,175"
2018,فبراير,"9,803,614"
2018,مارس,"6,492,872"
2018,إبريل,"5,916,974"
2018,مايو,"5,395,157"
2018,يونيو,"6,034,049"
2018,يوليو,"6,415,083"
2018,أغسطس,"5,242,633"
2018,سبتمبر,"7,729,054"
2018,أكتوبر,"8,175,462"
2018,نوفمبر,"5,112,369"
2018,ديسمبر,"6,305,360"
2019,يناير,"6,528,642"
2019,فبراير,"6,537,541"
2019,مارس,"5,695,575"
2019,إبريل,"4,579,179"
2019,مايو,"6,444,331"
2019,يونيو,"6,539,574"
2019,يوليو,"7,425,103"
2019,أغسطس,"4,800,857"
2019,سبتمبر,"7,303,794"
2019,أكتوبر,"6,698,904"
2019,نوفمبر,"6,600,847"
2019,ديسمبر,"4,965,428"
2020,يناير,"5,810,066"
2020,فبراير,"6,536,686"
2020,مارس,"7,010,003"
2020,إبريل,"1,884,424"
2020,مايو,"1,673,384"
2020,يونيو,"5,221,317"
2020,يوليو,"5,614,416"
2020,أغسطس,"7,704,995"
2020,سبتمبر,"9,071,874"
2020,أكتوبر,"5,616,912"
2020,نوفمبر,"7,473,062"
2020,ديسمبر,"5,738,190"
2021,يناير,"5,146,493"
2021,فبراير,"9,800,885"
2021,مارس,"9,683,290"
2021,إبريل,"8,761,250"
2021,مايو,"7,486,770"
2021,يونيو,"7,102,378"
2021,يوليو,"4,015,617"
2021,أغسطس,"6,888,505"
2021,سبتمبر,"10,395,011"
2021,أكتوبر,"11,243,710"
2021,نوفمبر,"4,153,966"
2021,ديسمبر,"8,422,524"
2022,يناير,"6,127,508"
2022,فبراير,"11,648,996"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
