Item,Amount,Value
سماد يوريا أو اسمده ازوتيه اخرى,6.9,مليون دولار
برتقال طازج أو مجفف,5.2,مليون دولار
يوسفى طازج أو مجفف,4.4,مليون دولار
اجزاء الات كهربائيه حراريه,294.2,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",283.7,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,157.9,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),148.2,ألف دولار
ورنيشات قاعدتها P.V.A,144.8,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,134.4,ألف دولار
بطاطس طازجه اومبرده أخرى,125.9,ألف دولار
خس ملفوف وكرنبى,120.6,ألف دولار
راتنجات الكيديه,113.6,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,110.3,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,94.8,ألف دولار
نباتات طبيه أخرى,85.8,ألف دولار
قنينة كانيولا وادوات مماثلة,68.3,ألف دولار
أغطية أرضيات نسجيه أخرى,57.6,ألف دولار
,53.0,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,46.2,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,38.8,ألف دولار
بوليستر أولى,38.2,ألف دولار
خميره جافه نشطه,35.5,ألف دولار
كرنب أفرنجى و بروكلى طازج,31.8,ألف دولار
غواسل عضوية بحالة ايونات سالبة,30.3,ألف دولار
بصل وكرات بشوشه,30.0,ألف دولار
فراوله محفوظه مؤقتا,22.7,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,20.0,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,19.9,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),18.5,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,17.0,ألف دولار
محضرات متجانسه لاغذيه الاطفال,16.9,ألف دولار
مجففات محضره,16.2,ألف دولار
تنر (تنر عضوى عادى او مخصوص),15.8,ألف دولار
خضروات مجمدة او مبردة,14.6,ألف دولار
جـــــزر,14.0,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,12.8,ألف دولار
خضروات اخرى مجمده,12.0,ألف دولار
جريب فروت طازج أو مجفف,11.9,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,9.1,ألف دولار
فراوله طازجه,8.3,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,3.0,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,2.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,2.2,ألف دولار
,1.9,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,1.4,ألف دولار
بهارات اخرى,1.4,ألف دولار
اكسوارات عوازل كهربائيه من مواد أخرى,0.4,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,0.1,ألف دولار
عدادات مركبة أخرى,0.0,ألف دولار
