Year,Month,Export Amount
2012,يناير,"7,093,944"
2012,فبراير,"9,980,006"
2012,مارس,"13,066,936"
2012,إبريل,"9,867,129"
2012,مايو,"8,403,096"
2012,يونيو,"3,331,050"
2012,يوليو,"2,524,382"
2012,أغسطس,"1,733,714"
2012,سبتمبر,"3,234,927"
2012,أكتوبر,"5,969,548"
2012,نوفمبر,"2,023,830"
2012,ديسمبر,"6,956,376"
2013,يناير,"8,874,906"
2013,فبراير,"12,963,914"
2013,مارس,"16,906,944"
2013,إبريل,"7,200,193"
2013,مايو,"2,565,462"
2013,يونيو,"4,083,898"
2013,يوليو,"2,100,268"
2013,أغسطس,"1,362,061"
2013,سبتمبر,"2,434,961"
2013,أكتوبر,"1,609,801"
2013,نوفمبر,"1,759,475"
2013,ديسمبر,"4,713,629"
2014,يناير,"7,128,523"
2014,فبراير,"4,013,505"
2014,مارس,"6,529,812"
2014,إبريل,"5,645,170"
2014,مايو,"6,856,493"
2014,يونيو,"2,382,287"
2014,يوليو,"1,309,535"
2014,أغسطس,"2,524,970"
2014,سبتمبر,"3,802,601"
2014,أكتوبر,"4,387,908"
2014,نوفمبر,"2,851,123"
2014,ديسمبر,"4,359,046"
2015,يناير,"3,880,161"
2015,فبراير,"2,949,630"
2015,مارس,"4,226,041"
2015,إبريل,"4,861,768"
2015,مايو,"1,846,401"
2015,يونيو,"1,275,897"
2015,يوليو,"971,845"
2015,أغسطس,"1,302,108"
2015,سبتمبر,"1,022,823"
2015,أكتوبر,"1,232,278"
2015,نوفمبر,"1,042,535"
2015,ديسمبر,"1,862,759"
2016,يناير,"2,912,199"
2016,فبراير,"3,527,620"
2016,مارس,"5,383,785"
2016,إبريل,"2,980,566"
2016,مايو,"1,191,827"
2016,يونيو,"1,241,145"
2016,يوليو,"1,318,750"
2016,أغسطس,"1,937,738"
2016,سبتمبر,"1,368,548"
2016,أكتوبر,"1,830,986"
2016,نوفمبر,"1,865,501"
2016,ديسمبر,"2,909,473"
2017,يناير,"7,879,935"
2017,فبراير,"4,503,130"
2017,مارس,"7,892,149"
2017,إبريل,"3,507,661"
2017,مايو,"2,620,029"
2017,يونيو,"2,135,973"
2017,يوليو,"2,209,032"
2017,أغسطس,"3,379,734"
2017,سبتمبر,"1,358,702"
2017,أكتوبر,"1,924,868"
2017,نوفمبر,"1,895,737"
2017,ديسمبر,"6,291,591"
2018,يناير,"6,504,562"
2018,فبراير,"8,400,413"
2018,مارس,"10,981,110"
2018,إبريل,"4,942,719"
2018,مايو,"1,633,174"
2018,يونيو,"1,778,886"
2018,يوليو,"2,292,227"
2018,أغسطس,"1,328,664"
2018,سبتمبر,"2,111,765"
2018,أكتوبر,"1,391,209"
2018,نوفمبر,"1,771,561"
2018,ديسمبر,"6,332,185"
2019,يناير,"8,042,467"
2019,فبراير,"19,561,784"
2019,مارس,"9,536,100"
2019,إبريل,"4,497,735"
2019,مايو,"3,663,822"
2019,يونيو,"2,559,529"
2019,يوليو,"2,784,155"
2019,أغسطس,"1,930,890"
2019,سبتمبر,"2,497,575"
2019,أكتوبر,"2,817,343"
2019,نوفمبر,"2,158,795"
2019,ديسمبر,"5,261,725"
2020,يناير,"11,303,595"
2020,فبراير,"10,686,202"
2020,مارس,"7,578,097"
2020,إبريل,"6,446,352"
2020,مايو,"4,564,668"
2020,يونيو,"2,402,225"
2020,يوليو,"2,278,392"
2020,أغسطس,"2,218,443"
2020,سبتمبر,"2,562,443"
2020,أكتوبر,"1,413,354"
2020,نوفمبر,"1,639,039"
2020,ديسمبر,"9,099,042"
2021,يناير,"10,372,647"
2021,فبراير,"10,402,740"
2021,مارس,"6,171,499"
2021,إبريل,"7,096,919"
2021,مايو,"3,060,477"
2021,يونيو,"12,147,717"
2021,يوليو,"3,029,515"
2021,أغسطس,"2,967,386"
2021,سبتمبر,"7,640,603"
2021,أكتوبر,"3,371,588"
2021,نوفمبر,"1,815,703"
2021,ديسمبر,"7,169,676"
2022,يناير,"13,220,629"
2022,فبراير,"7,120,318"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
