Item,Amount,Value
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),56.2,ألف دولار
نباتات طبيه أخرى,54.1,ألف دولار
بنطلون رجالى من القطن غير مصنره,47.0,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,43.2,ألف دولار
برتقال طازج أو مجفف,31.8,ألف دولار
فراوله محفوظه مؤقتا,31.0,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,26.8,ألف دولار
جريب فروت طازج أو مجفف,15.0,ألف دولار
أغطية أرضيات نسجيه أخرى,13.9,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,12.0,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,7.0,ألف دولار
بيكربونات كالسيوم,6.2,ألف دولار
