Year,Month,Export Amount
2012,يناير,"80,818"
2012,فبراير,"101,068"
2012,مارس,"5,717,082"
2012,إبريل,"81,036"
2012,مايو,"2,600,113"
2012,يونيو,"3,744,718"
2012,يوليو,"3,024,751"
2012,أغسطس,"2,052,176"
2012,سبتمبر,"443,107"
2012,أكتوبر,"682,907"
2012,نوفمبر,"1,385,714"
2012,ديسمبر,"516,334"
2013,يناير,"849,187"
2013,فبراير,"2,592,031"
2013,مارس,"455,395"
2013,إبريل,"102,601"
2013,مايو,"305,138"
2013,يونيو,"497,014"
2013,يوليو,"604,175"
2013,أغسطس,"55,489"
2013,سبتمبر,"277,555"
2013,أكتوبر,"157,620"
2013,نوفمبر,"178,441"
2013,ديسمبر,"356,611"
2014,يناير,"34,135"
2014,فبراير,"116,809"
2014,مارس,"325,997"
2014,إبريل,"348,576"
2014,مايو,"162,474"
2014,يونيو,"378,990"
2014,يوليو,"77,747"
2014,أغسطس,"261,970"
2014,سبتمبر,"323,172"
2014,أكتوبر,"187,850"
2014,نوفمبر,"107,030"
2014,ديسمبر,"185,128"
2015,يناير,"217,425"
2015,فبراير,"149,348"
2015,مارس,"186,853"
2015,إبريل,"280,047"
2015,مايو,"150,802"
2015,يونيو,"246,062"
2015,يوليو,"275,562"
2015,أغسطس,"128,106"
2015,سبتمبر,"115,227"
2015,أكتوبر,"287,456"
2015,نوفمبر,"156,613"
2015,ديسمبر,"314,244"
2016,يناير,"62,812"
2016,فبراير,"149,876"
2016,مارس,"293,809"
2016,إبريل,"105,023"
2016,مايو,"283,486"
2016,يونيو,"108,729"
2016,يوليو,"4,904,576"
2016,أغسطس,"64,076"
2016,سبتمبر,"221,921"
2016,أكتوبر,"207,278"
2016,نوفمبر,"87,944"
2016,ديسمبر,"680,527"
2017,يناير,"4,102,422"
2017,فبراير,"124,344"
2017,مارس,"3,077,184"
2017,إبريل,"353,210"
2017,مايو,"3,578,531"
2017,يونيو,"255,742"
2017,يوليو,"382,479"
2017,أغسطس,"4,325,327"
2017,سبتمبر,"1,918,988"
2017,أكتوبر,"510,931"
2017,نوفمبر,"3,120,723"
2017,ديسمبر,"916,528"
2018,يناير,"3,623,781"
2018,فبراير,"80,388"
2018,مارس,"750,662"
2018,إبريل,"2,544,946"
2018,مايو,"1,467,059"
2018,يونيو,"464,275"
2018,يوليو,"3,968,074"
2018,أغسطس,"4,496,270"
2018,سبتمبر,"2,727,472"
2018,أكتوبر,"1,147,489"
2018,نوفمبر,"225,720"
2018,ديسمبر,"4,488,568"
2019,يناير,"1,064,278"
2019,فبراير,"152,544"
2019,مارس,"3,378,214"
2019,إبريل,"1,927,880"
2019,مايو,"2,503,494"
2019,يونيو,"140,200"
2019,يوليو,"364,356"
2019,أغسطس,"132,335"
2019,سبتمبر,"1,914,076"
2019,أكتوبر,"1,020,299"
2019,نوفمبر,"221,453"
2019,ديسمبر,"164,103"
2020,يناير,"101,418"
2020,فبراير,"3,799,874"
2020,مارس,"1,530,361"
2020,إبريل,"1,205,868"
2020,مايو,"1,879,851"
2020,يونيو,"10,477,924"
2020,يوليو,"2,180,332"
2020,أغسطس,"1,863,660"
2020,سبتمبر,"865,527"
2020,أكتوبر,"335,065"
2020,نوفمبر,"594,249"
2020,ديسمبر,"4,748,754"
2021,يناير,"2,450,686"
2021,فبراير,"8,814,294"
2021,مارس,"799,387"
2021,إبريل,"4,853,558"
2021,مايو,"539,188"
2021,يونيو,"5,329,333"
2021,يوليو,"274,228"
2021,أغسطس,"3,206,171"
2021,سبتمبر,"4,297,161"
2021,أكتوبر,"5,270,392"
2021,نوفمبر,"109,508"
2021,ديسمبر,"594,681"
2022,يناير,"298,607"
2022,فبراير,"139,496"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
