Item,Amount,Value
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,52.6,مليون دولار
بنطلون رجالى من القطن غير مصنره,26.0,مليون دولار
خضروات اخرى مجمده,24.8,مليون دولار
بنطلون رجالى من الياف صناعيه غير مصنره,19.0,مليون دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,17.1,مليون دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,16.3,مليون دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,14.4,مليون دولار
بودره بولي ايثلين P.E.T,14.2,مليون دولار
ملابس المطر الداخليه رجالى بصفة عامه,14.0,مليون دولار
قمصان رجالى من الياف أخرى غير مصنره,11.7,مليون دولار
أغطية أرضيات نسجيه أخرى,10.1,مليون دولار
قطع من ملابس جاهزه,9.2,مليون دولار
بنطلون رجالى من الياف نسجيه أخرى مصنره,7.4,مليون دولار
بدل رجالى من ألياف نسجيه أخرى غير مصنره,6.7,مليون دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من الياف اصطناعيه او تركيبيه مصنره,6.2,مليون دولار
بنطلون حريمى من القطن غير مصنره,6.0,مليون دولار
سجاد نايلون آخر,5.5,مليون دولار
نباتات طبيه أخرى,5.5,مليون دولار
خيوط من الياف الزجاج,5.4,مليون دولار
نسيج من الياف الزجاج,4.9,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",4.8,مليون دولار
قدد من الالومنيوم مستطيلة الشكل,4.6,مليون دولار
بنطلون حريمى من الياف صناعيه غير مصنره,4.6,مليون دولار
قمصان رجالى من الياف صناعيه غير مصنره,4.0,مليون دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,3.6,مليون دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,3.4,مليون دولار
مولاس قصب السكر و عسل اسود,3.1,مليون دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من الياف نسجيه أخرى غير غير مصنره,3.0,مليون دولار
ملح غير صالح للطعام و ملح طعام,2.9,مليون دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,2.3,مليون دولار
سليب رجالى قطن مصنره,2.2,مليون دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,2.0,مليون دولار
ورنيشات قاعدتها P.V.A,2.0,مليون دولار
طرشى),1.9,مليون دولار
بلوزه حريمى من الياف صناعيه غير مصنره,1.6,مليون دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن مصنره,1.6,مليون دولار
أجزاء راديو و تليفزيون,1.6,مليون دولار
فراوله محفوظه مؤقتا,1.5,مليون دولار
جاكت رجالى من الصوف غير مصنره,1.4,مليون دولار
بصل مجفف,1.4,مليون دولار
زيوت عطرية أخرى,1.3,مليون دولار
مخاليط خضروات مجمده,1.3,مليون دولار
غواسل عضوية بحالة ايونات سالبة,1.3,مليون دولار
مساحيق محضره للخبيز (بيكنج بودر),1.2,مليون دولار
ملابس المطر الداخليه حريمى بصفة عامه,1.1,مليون دولار
غيرها من منشات واجزاوءها من حديد او صلب,1.1,مليون دولار
طقم رجالى من الياف صناعيه غير مصنره,1.0,مليون دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,934.8,ألف دولار
دفاتر),900.7,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,891.1,ألف دولار
هلام,853.4,ألف دولار
بلوزه حريمى من الياف نسجيه أخرى غير مصنره,844.0,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى غير مصنره,834.2,ألف دولار
خضروات مجففه,791.9,ألف دولار
فاصوليا مجمده,787.1,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,753.7,ألف دولار
طقم رجالى من الياف نسجيه أخرى غير مصنره,740.7,ألف دولار
ملايات السرير أخرى,675.1,ألف دولار
سبانخ مجمده,655.7,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,594.9,ألف دولار
مسامير قلاووظ من حديد للخشب,562.0,ألف دولار
عصير خليط,548.5,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى مصنره,543.3,ألف دولار
انواع أخرى من اسمنت بورتلاند (حديدى و مخلوط),523.1,ألف دولار
سليب أو بريف من القطن مصنره,502.7,ألف دولار
خضروات متجانسه للاطفال,502.1,ألف دولار
جاكت حريمى من الصوف مصنره,467.0,ألف دولار
بنطلون رجالى من الياف صناعيه مصنره,458.5,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,455.7,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,453.5,ألف دولار
جاكت رجالى من الياف صناعيه غير مصنره,420.1,ألف دولار
مسمار من حديد او صلب,419.6,ألف دولار
سجاد من أنسجه أخرى طبيعيه ميكانيكى,414.4,ألف دولار
زيوت عطريه (من موالح) متعدده,407.8,ألف دولار
اثاث معدنى اخر,403.3,ألف دولار
خيوط مغزوله قطنيه أقل من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,389.8,ألف دولار
