Year,Month,Export Amount
2012,يناير,"118,597,431"
2012,فبراير,"132,474,590"
2012,مارس,"114,438,467"
2012,إبريل,"152,599,262"
2012,مايو,"119,261,137"
2012,يونيو,"126,638,471"
2012,يوليو,"119,920,211"
2012,أغسطس,"109,220,901"
2012,سبتمبر,"136,849,807"
2012,أكتوبر,"134,550,462"
2012,نوفمبر,"98,758,233"
2012,ديسمبر,"141,490,324"
2013,يناير,"93,166,140"
2013,فبراير,"100,975,602"
2013,مارس,"107,572,201"
2013,إبريل,"120,481,635"
2013,مايو,"99,650,225"
2013,يونيو,"116,884,620"
2013,يوليو,"110,552,591"
2013,أغسطس,"85,391,193"
2013,سبتمبر,"102,873,942"
2013,أكتوبر,"101,962,431"
2013,نوفمبر,"92,424,515"
2013,ديسمبر,"111,033,469"
2014,يناير,"121,948,315"
2014,فبراير,"101,234,577"
2014,مارس,"102,699,702"
2014,إبريل,"95,011,535"
2014,مايو,"104,460,821"
2014,يونيو,"105,765,163"
2014,يوليو,"115,660,120"
2014,أغسطس,"113,221,134"
2014,سبتمبر,"115,598,262"
2014,أكتوبر,"82,652,600"
2014,نوفمبر,"101,768,974"
2014,ديسمبر,"121,139,008"
2015,يناير,"102,091,185"
2015,فبراير,"100,709,899"
2015,مارس,"114,098,931"
2015,إبريل,"105,754,219"
2015,مايو,"105,588,786"
2015,يونيو,"102,626,135"
2015,يوليو,"101,489,248"
2015,أغسطس,"107,130,389"
2015,سبتمبر,"95,402,742"
2015,أكتوبر,"92,547,079"
2015,نوفمبر,"91,823,572"
2015,ديسمبر,"117,053,462"
2016,يناير,"82,791,523"
2016,فبراير,"94,852,360"
2016,مارس,"101,946,022"
2016,إبريل,"90,137,708"
2016,مايو,"109,386,826"
2016,يونيو,"93,784,885"
2016,يوليو,"87,232,591"
2016,أغسطس,"91,614,266"
2016,سبتمبر,"66,241,412"
2016,أكتوبر,"79,875,505"
2016,نوفمبر,"116,762,698"
2016,ديسمبر,"116,484,851"
2017,يناير,"414,286,524"
2017,فبراير,"132,526,101"
2017,مارس,"144,152,800"
2017,إبريل,"156,460,881"
2017,مايو,"175,767,950"
2017,يونيو,"193,635,032"
2017,يوليو,"176,651,338"
2017,أغسطس,"199,836,227"
2017,سبتمبر,"133,231,402"
2017,أكتوبر,"175,141,531"
2017,نوفمبر,"147,887,438"
2017,ديسمبر,"191,084,892"
2018,يناير,"108,388,955"
2018,فبراير,"122,532,656"
2018,مارس,"124,696,683"
2018,إبريل,"115,878,859"
2018,مايو,"105,259,523"
2018,يونيو,"107,156,657"
2018,يوليو,"122,046,354"
2018,أغسطس,"122,627,163"
2018,سبتمبر,"137,641,326"
2018,أكتوبر,"111,454,115"
2018,نوفمبر,"118,981,863"
2018,ديسمبر,"163,407,314"
2019,يناير,"127,465,898"
2019,فبراير,"133,940,193"
2019,مارس,"130,815,903"
2019,إبريل,"323,215,832"
2019,مايو,"175,519,840"
2019,يونيو,"231,644,181"
2019,يوليو,"233,219,333"
2019,أغسطس,"138,558,446"
2019,سبتمبر,"171,971,506"
2019,أكتوبر,"203,184,491"
2019,نوفمبر,"120,721,927"
2019,ديسمبر,"128,254,784"
2020,يناير,"129,529,276"
2020,فبراير,"118,144,081"
2020,مارس,"128,785,399"
2020,إبريل,"45,375,032"
2020,مايو,"68,880,480"
2020,يونيو,"136,485,690"
2020,يوليو,"145,484,466"
2020,أغسطس,"118,975,289"
2020,سبتمبر,"137,176,834"
2020,أكتوبر,"131,506,935"
2020,نوفمبر,"141,689,281"
2020,ديسمبر,"229,122,301"
2021,يناير,"137,895,271"
2021,فبراير,"158,299,718"
2021,مارس,"251,038,859"
2021,إبريل,"191,299,524"
2021,مايو,"150,330,071"
2021,يونيو,"214,743,007"
2021,يوليو,"230,488,512"
2021,أغسطس,"228,219,740"
2021,سبتمبر,"213,251,426"
2021,أكتوبر,"174,578,067"
2021,نوفمبر,"43,569,616"
2021,ديسمبر,"230,924,007"
2022,يناير,"214,343,904"
2022,فبراير,"164,534,833"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
