Year,Month,Export Amount
2012,يناير,0
2012,فبراير,489
2012,مارس,0
2012,إبريل,0
2012,مايو,"9,023"
2012,يونيو,0
2012,يوليو,0
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,100
2012,ديسمبر,0
2013,يناير,"9,244"
2013,فبراير,"32,414"
2013,مارس,0
2013,إبريل,982
2013,مايو,"9,400"
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,"16,929"
2013,سبتمبر,0
2013,أكتوبر,500
2013,نوفمبر,0
2013,ديسمبر,"123,053"
2014,يناير,"52,325"
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,0
2014,يونيو,0
2014,يوليو,"56,229"
2014,أغسطس,"120,389"
2014,سبتمبر,"178,890"
2014,أكتوبر,"251,608"
2014,نوفمبر,"55,150"
2014,ديسمبر,"69,912"
2015,يناير,"37,500"
2015,فبراير,"30,520"
2015,مارس,"177,382"
2015,إبريل,"12,461"
2015,مايو,0
2015,يونيو,0
2015,يوليو,"1,000"
2015,أغسطس,"552,047"
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,"6,460"
2015,ديسمبر,0
2016,يناير,"82,140"
2016,فبراير,"64,717"
2016,مارس,"56,172"
2016,إبريل,"83,738"
2016,مايو,"45,659"
2016,يونيو,"22,680"
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,70
2017,يناير,"72,168"
2017,فبراير,"114,477"
2017,مارس,"192,540"
2017,إبريل,"211,631"
2017,مايو,0
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,"16,500"
2018,يناير,"16,200"
2018,فبراير,"53,630"
2018,مارس,"118,124"
2018,إبريل,"89,019"
2018,مايو,"214,552"
2018,يونيو,"98,363"
2018,يوليو,"1,300"
2018,أغسطس,0
2018,سبتمبر,0
2018,أكتوبر,0
2018,نوفمبر,630
2018,ديسمبر,"3,000"
2019,يناير,"44,212"
2019,فبراير,"197,388"
2019,مارس,"73,969"
2019,إبريل,"314,284"
2019,مايو,"111,148"
2019,يونيو,"229,321"
2019,يوليو,"41,588"
2019,أغسطس,30
2019,سبتمبر,"104,054"
2019,أكتوبر,0
2019,نوفمبر,"87,322"
2019,ديسمبر,"89,203"
2020,يناير,"76,503"
2020,فبراير,"128,595"
2020,مارس,"209,638"
2020,إبريل,"68,964"
2020,مايو,"9,555"
2020,يونيو,"538,984"
2020,يوليو,"176,593"
2020,أغسطس,"21,735"
2020,سبتمبر,"105,564"
2020,أكتوبر,"51,151"
2020,نوفمبر,"61,943"
2020,ديسمبر,"46,417"
2021,يناير,"121,823"
2021,فبراير,"118,574"
2021,مارس,"450,063"
2021,إبريل,"229,539"
2021,مايو,"142,393"
2021,يونيو,"150,060"
2021,يوليو,"21,000"
2021,أغسطس,"238,079"
2021,سبتمبر,"161,724"
2021,أكتوبر,"613,271"
2021,نوفمبر,0
2021,ديسمبر,"110,510"
2022,يناير,"199,973"
2022,فبراير,"429,588"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
