Year,Month,Export Amount
2012,يناير,"617,220"
2012,فبراير,"644,511"
2012,مارس,"306,532"
2012,إبريل,"1,208,207"
2012,مايو,"289,622"
2012,يونيو,"254,297"
2012,يوليو,"121,494"
2012,أغسطس,"278,453"
2012,سبتمبر,"486,019"
2012,أكتوبر,"286,034"
2012,نوفمبر,"249,887"
2012,ديسمبر,"134,639"
2013,يناير,"148,014"
2013,فبراير,"297,391"
2013,مارس,"274,347"
2013,إبريل,"242,121"
2013,مايو,"193,424"
2013,يونيو,"211,302"
2013,يوليو,"481,176"
2013,أغسطس,"57,335"
2013,سبتمبر,"258,732"
2013,أكتوبر,"184,558"
2013,نوفمبر,"331,561"
2013,ديسمبر,"245,821"
2014,يناير,0
2014,فبراير,"18,008"
2014,مارس,0
2014,إبريل,"189,725"
2014,مايو,"19,942"
2014,يونيو,"139,312"
2014,يوليو,"127,624"
2014,أغسطس,"30,959"
2014,سبتمبر,"188,995"
2014,أكتوبر,"193,010"
2014,نوفمبر,"119,792"
2014,ديسمبر,"47,928"
2015,يناير,0
2015,فبراير,"43,500"
2015,مارس,"24,131"
2015,إبريل,"51,996"
2015,مايو,"114,853"
2015,يونيو,"108,161"
2015,يوليو,"16,819"
2015,أغسطس,"87,578"
2015,سبتمبر,"50,967"
2015,أكتوبر,"86,400"
2015,نوفمبر,"45,021"
2015,ديسمبر,"23,690"
2016,يناير,"9,045"
2016,فبراير,"21,131"
2016,مارس,"11,809"
2016,إبريل,"34,884"
2016,مايو,"47,418"
2016,يونيو,"168,659"
2016,يوليو,"106,607"
2016,أغسطس,"62,229"
2016,سبتمبر,"12,804"
2016,أكتوبر,"102,144"
2016,نوفمبر,"83,229"
2016,ديسمبر,"4,097"
2017,يناير,"86,934"
2017,فبراير,"30,014"
2017,مارس,"41,816"
2017,إبريل,"61,179"
2017,مايو,0
2017,يونيو,"42,775"
2017,يوليو,"15,561"
2017,أغسطس,"573,596"
2017,سبتمبر,"22,620"
2017,أكتوبر,"432,427"
2017,نوفمبر,"22,375"
2017,ديسمبر,"27,895"
2018,يناير,"11,702"
2018,فبراير,"15,152"
2018,مارس,"212,101"
2018,إبريل,"143,137"
2018,مايو,"55,649"
2018,يونيو,"144,224"
2018,يوليو,"44,324"
2018,أغسطس,"152,880"
2018,سبتمبر,"79,635"
2018,أكتوبر,"70,450"
2018,نوفمبر,"510,187"
2018,ديسمبر,"956,869"
2019,يناير,"665,433"
2019,فبراير,"145,675"
2019,مارس,"262,910"
2019,إبريل,"55,082"
2019,مايو,"81,830"
2019,يونيو,"265,923"
2019,يوليو,"171,889"
2019,أغسطس,"111,820"
2019,سبتمبر,"64,438"
2019,أكتوبر,"266,898"
2019,نوفمبر,"193,031"
2019,ديسمبر,"137,173"
2020,يناير,"100,014"
2020,فبراير,"214,368"
2020,مارس,"249,488"
2020,إبريل,"799,820"
2020,مايو,"290,791"
2020,يونيو,"218,769"
2020,يوليو,"691,713"
2020,أغسطس,"628,479"
2020,سبتمبر,"496,028"
2020,أكتوبر,"522,044"
2020,نوفمبر,"139,000"
2020,ديسمبر,"299,955"
2021,يناير,"261,660"
2021,فبراير,"227,487"
2021,مارس,"323,807"
2021,إبريل,"642,743"
2021,مايو,"1,055,534"
2021,يونيو,"780,859"
2021,يوليو,"921,340"
2021,أغسطس,"565,399"
2021,سبتمبر,"916,034"
2021,أكتوبر,"633,057"
2021,نوفمبر,"1,268,576"
2021,ديسمبر,"1,108,440"
2022,يناير,"274,104"
2022,فبراير,"1,938,328"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
