Item,Amount,Value
قطن غير ممشط أو مسرح,4.3,مليون دولار
برتقال طازج أو مجفف,1.5,مليون دولار
أجزاء راديو و تليفزيون,526.4,ألف دولار
يوسفى طازج أو مجفف,440.5,ألف دولار
لعزل الحراره ?  الصوت,364.6,ألف دولار
شفرات حلاقه فى أطقم,331.2,ألف دولار
انواع جبنه اخرى,173.8,ألف دولار
محضرات واصناف صيدليه اخر,160.0,ألف دولار
فراوله محفوظه مؤقتا,105.3,ألف دولار
امصال الطب البيطرى,102.7,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,58.8,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,57.2,ألف دولار
كاولين,54.6,ألف دولار
الات اخرى تؤدى وظائف مستقلة بذاتها غير مذكورة او داخلة فى اى مكان اخرمن هذا الفصل,49.8,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,45.5,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,36.1,ألف دولار
ذرة أخرى,35.4,ألف دولار
قماش الدنيم أو الجينز,30.6,ألف دولار
زراير بلاستيك,27.8,ألف دولار
هلام,16.5,ألف دولار
نباتات طبيه أخرى,11.9,ألف دولار
منشور ?  مرايا ?  غيرها من عناصر بصريه,10.3,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,8.4,ألف دولار
شحوم من أبقار أو جاموس مجمده,7.3,ألف دولار
نشاره الخشب,6.1,ألف دولار
"غيرها من اقمشة نصف شفافه , نسيج ومماسح ارجل وحشايا والواح من الفيبر جلاس",5.6,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,5.1,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,4.9,ألف دولار
كبسولات,4.5,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,4.2,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,1.9,ألف دولار
