Year,Month,Export Amount
2012,يناير,"1,539,348"
2012,فبراير,"506,641"
2012,مارس,"1,249,597"
2012,إبريل,"316,643"
2012,مايو,"1,339,172"
2012,يونيو,"804,750"
2012,يوليو,"682,014"
2012,أغسطس,"586,522"
2012,سبتمبر,"864,498"
2012,أكتوبر,"534,884"
2012,نوفمبر,"1,276,683"
2012,ديسمبر,"725,741"
2013,يناير,"704,162"
2013,فبراير,"1,406,195"
2013,مارس,"1,175,805"
2013,إبريل,"1,150,824"
2013,مايو,"2,134,773"
2013,يونيو,"542,417"
2013,يوليو,"1,066,323"
2013,أغسطس,"375,364"
2013,سبتمبر,"623,708"
2013,أكتوبر,"485,023"
2013,نوفمبر,"673,334"
2013,ديسمبر,"1,358,562"
2014,يناير,"463,056"
2014,فبراير,"756,902"
2014,مارس,"1,046,061"
2014,إبريل,"783,229"
2014,مايو,"796,806"
2014,يونيو,"1,195,151"
2014,يوليو,"458,500"
2014,أغسطس,"1,239,760"
2014,سبتمبر,"1,240,415"
2014,أكتوبر,"964,103"
2014,نوفمبر,"2,197,130"
2014,ديسمبر,"1,522,886"
2015,يناير,"2,855,681"
2015,فبراير,"1,068,685"
2015,مارس,"2,523,498"
2015,إبريل,"1,698,503"
2015,مايو,"1,669,616"
2015,يونيو,"2,507,066"
2015,يوليو,"2,104,966"
2015,أغسطس,"651,068"
2015,سبتمبر,"564,486"
2015,أكتوبر,"1,108,512"
2015,نوفمبر,"624,451"
2015,ديسمبر,"1,113,502"
2016,يناير,"705,617"
2016,فبراير,"1,568,766"
2016,مارس,"1,085,673"
2016,إبريل,"2,965,124"
2016,مايو,"1,420,173"
2016,يونيو,"1,257,878"
2016,يوليو,"715,604"
2016,أغسطس,"1,285,179"
2016,سبتمبر,"938,844"
2016,أكتوبر,"2,127,835"
2016,نوفمبر,"4,907,656"
2016,ديسمبر,"2,158,815"
2017,يناير,"3,147,524"
2017,فبراير,"812,845"
2017,مارس,"1,606,877"
2017,إبريل,"1,068,509"
2017,مايو,"4,662,439"
2017,يونيو,"1,000,695"
2017,يوليو,"871,618"
2017,أغسطس,"1,908,094"
2017,سبتمبر,"1,901,865"
2017,أكتوبر,"2,255,049"
2017,نوفمبر,"1,542,392"
2017,ديسمبر,"3,043,372"
2018,يناير,"2,458,050"
2018,فبراير,"857,111"
2018,مارس,"2,715,311"
2018,إبريل,"3,076,117"
2018,مايو,"2,781,246"
2018,يونيو,"2,968,644"
2018,يوليو,"3,300,257"
2018,أغسطس,"2,178,784"
2018,سبتمبر,"2,890,633"
2018,أكتوبر,"2,737,429"
2018,نوفمبر,"3,318,910"
2018,ديسمبر,"4,446,995"
2019,يناير,"1,731,422"
2019,فبراير,"1,958,815"
2019,مارس,"1,812,929"
2019,إبريل,"1,896,011"
2019,مايو,"1,922,683"
2019,يونيو,"1,334,316"
2019,يوليو,"1,163,041"
2019,أغسطس,"636,683"
2019,سبتمبر,"1,654,940"
2019,أكتوبر,"2,936,919"
2019,نوفمبر,"1,645,502"
2019,ديسمبر,"2,113,606"
2020,يناير,"1,673,881"
2020,فبراير,"2,765,734"
2020,مارس,"4,138,066"
2020,إبريل,"3,329,833"
2020,مايو,"1,746,378"
2020,يونيو,"5,864,774"
2020,يوليو,"4,029,811"
2020,أغسطس,"1,626,625"
2020,سبتمبر,"1,647,187"
2020,أكتوبر,"4,201,067"
2020,نوفمبر,"2,536,615"
2020,ديسمبر,"4,957,106"
2021,يناير,"2,877,378"
2021,فبراير,"4,278,656"
2021,مارس,"6,460,682"
2021,إبريل,"5,537,414"
2021,مايو,"4,696,579"
2021,يونيو,"1,165,776"
2021,يوليو,"1,449,900"
2021,أغسطس,"3,065,940"
2021,سبتمبر,"722,001"
2021,أكتوبر,"4,957,220"
2021,نوفمبر,"675,846"
2021,ديسمبر,"3,719,338"
2022,يناير,"5,954,583"
2022,فبراير,"3,240,627"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
