Item,Amount,Value
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم وبسمك اكبر من 4.75 مم,4.6,مليون دولار
دقيق حنطة قمح ودقيق خليط حنطة,4.5,مليون دولار
محضرات واصناف صيدليه اخر,3.7,مليون دولار
سكر بنجر مكرر,3.1,مليون دولار
عصير خليط,3.0,مليون دولار
جبن مطبوخ غير مبشور ولا مسحوق,2.4,مليون دولار
عجائن اخرى غير محتويه على بيض,2.3,مليون دولار
بسكويت صيدلى,1.9,مليون دولار
فوليه),1.4,مليون دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,1.3,مليون دولار
مكسبات طعم ورائحه,1.2,مليون دولار
محضرات غذائيه اخرى,906.5,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,760.6,ألف دولار
نشا ذره,658.9,ألف دولار
فوط ارضيه وفوط لتنشيف الاطباق ومنافض وفوط التنظيف المماثلة,610.8,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),584.8,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من0.5 مم واقل من 1مم,529.8,ألف دولار
كربونات عضويه مركبه,484.3,ألف دولار
راتنجات الكيديه,479.4,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,470.6,ألف دولار
شيكولاتة ومنتجات الكاكاو,466.9,ألف دولار
سيليكات صوديوم أخر,404.6,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,390.2,ألف دولار
ابواب ونوافذ واطرها من الالومنيوم,332.7,ألف دولار
خميره جافه نشطه,312.0,ألف دولار
بلاط أرضيات سيراميك وزخارف معماريه ومصنوعات اخرى من سيراميك,290.3,ألف دولار
"انابيب ومواسير وخراطيم,صلبة وغير قابلة للثنى من لدائن اصطناعيةاخرى",253.2,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),248.2,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,237.6,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,222.2,ألف دولار
سليب رجالى قطن مصنره,204.6,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),180.5,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,179.0,ألف دولار
