Year,Month,Export Amount
2012,يناير,"19,927,905"
2012,فبراير,"18,329,743"
2012,مارس,"26,390,746"
2012,إبريل,"22,519,710"
2012,مايو,"25,527,610"
2012,يونيو,"22,464,086"
2012,يوليو,"20,321,648"
2012,أغسطس,"16,086,851"
2012,سبتمبر,"21,194,563"
2012,أكتوبر,"15,629,619"
2012,نوفمبر,"22,896,665"
2012,ديسمبر,"29,010,855"
2013,يناير,"18,170,490"
2013,فبراير,"16,597,268"
2013,مارس,"26,715,822"
2013,إبريل,"28,216,306"
2013,مايو,"13,838,401"
2013,يونيو,"26,795,961"
2013,يوليو,"17,875,397"
2013,أغسطس,"9,319,861"
2013,سبتمبر,"24,002,573"
2013,أكتوبر,"20,991,226"
2013,نوفمبر,"20,439,842"
2013,ديسمبر,"23,672,466"
2014,يناير,"18,200,835"
2014,فبراير,"22,272,338"
2014,مارس,"23,232,947"
2014,إبريل,"21,195,444"
2014,مايو,"24,155,634"
2014,يونيو,"21,856,689"
2014,يوليو,"14,697,956"
2014,أغسطس,"19,474,735"
2014,سبتمبر,"20,184,160"
2014,أكتوبر,"16,535,362"
2014,نوفمبر,"19,963,324"
2014,ديسمبر,"26,137,256"
2015,يناير,"17,743,089"
2015,فبراير,"17,652,523"
2015,مارس,"17,878,574"
2015,إبريل,"1,820,757"
2015,مايو,"3,360,800"
2015,يونيو,"6,582,686"
2015,يوليو,"13,895,444"
2015,أغسطس,"7,900,449"
2015,سبتمبر,"13,357,781"
2015,أكتوبر,"22,177,690"
2015,نوفمبر,"22,791,883"
2015,ديسمبر,"16,988,372"
2016,يناير,"13,427,780"
2016,فبراير,"19,210,449"
2016,مارس,"18,980,157"
2016,إبريل,"26,468,482"
2016,مايو,"20,277,093"
2016,يونيو,"19,918,747"
2016,يوليو,"15,799,955"
2016,أغسطس,"17,748,033"
2016,سبتمبر,"15,453,796"
2016,أكتوبر,"14,270,924"
2016,نوفمبر,"21,404,539"
2016,ديسمبر,"22,483,666"
2017,يناير,"78,689,488"
2017,فبراير,"14,230,937"
2017,مارس,"22,822,684"
2017,إبريل,"20,852,673"
2017,مايو,"16,817,309"
2017,يونيو,"19,699,266"
2017,يوليو,"23,986,959"
2017,أغسطس,"20,948,750"
2017,سبتمبر,"13,864,523"
2017,أكتوبر,"20,173,461"
2017,نوفمبر,"21,870,620"
2017,ديسمبر,"21,680,111"
2018,يناير,"19,313,171"
2018,فبراير,"19,843,005"
2018,مارس,"26,201,642"
2018,إبريل,"22,748,358"
2018,مايو,"20,828,553"
2018,يونيو,"18,820,749"
2018,يوليو,"27,014,774"
2018,أغسطس,"22,908,787"
2018,سبتمبر,"26,912,730"
2018,أكتوبر,"18,181,259"
2018,نوفمبر,"20,728,811"
2018,ديسمبر,"35,044,147"
2019,يناير,"28,882,400"
2019,فبراير,"42,850,806"
2019,مارس,"42,020,238"
2019,إبريل,"49,729,661"
2019,مايو,"35,941,278"
2019,يونيو,"21,879,910"
2019,يوليو,"23,897,564"
2019,أغسطس,"20,509,907"
2019,سبتمبر,"31,993,763"
2019,أكتوبر,"33,589,065"
2019,نوفمبر,"23,744,783"
2019,ديسمبر,"28,333,021"
2020,يناير,"28,863,513"
2020,فبراير,"21,496,509"
2020,مارس,"26,621,011"
2020,إبريل,"16,994,867"
2020,مايو,"19,472,960"
2020,يونيو,"24,051,839"
2020,يوليو,"33,166,456"
2020,أغسطس,"25,957,012"
2020,سبتمبر,"32,590,017"
2020,أكتوبر,"30,362,136"
2020,نوفمبر,"25,265,256"
2020,ديسمبر,"32,675,805"
2021,يناير,"23,949,724"
2021,فبراير,"26,130,758"
2021,مارس,"29,699,746"
2021,إبريل,"38,400,219"
2021,مايو,"23,475,274"
2021,يونيو,"30,549,639"
2021,يوليو,"27,313,294"
2021,أغسطس,"34,365,422"
2021,سبتمبر,"30,508,136"
2021,أكتوبر,"16,701,204"
2021,نوفمبر,"18,195,701"
2021,ديسمبر,"27,640,918"
2022,يناير,"29,795,578"
2022,فبراير,"18,491,348"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
