Item,Amount,Value
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,1.7,مليون دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,1.2,مليون دولار
شمع برافين,1.0,مليون دولار
بيكربونات كالسيوم,1.0,مليون دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,705.0,ألف دولار
لبان بلـــدى,632.7,ألف دولار
قوالب شيكولاته,500.7,ألف دولار
فراوله طازجه,498.3,ألف دولار
نباتات طبيه أخرى,495.9,ألف دولار
,391.9,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,306.0,ألف دولار
صابون معطر تواليت,299.4,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),263.6,ألف دولار
محضرات غذائيه اخرى,257.1,ألف دولار
سيليكات صوديوم أخر,202.2,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,192.5,ألف دولار
ورنيشات قاعدتها P.V.A,155.8,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح غيرخلويةوغيرمقواه من بلاستيكات أخرى",118.7,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,114.5,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,110.7,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",106.0,ألف دولار
سكر نقى كيماويا,104.9,ألف دولار
غواسل عضوية بحالة ايونات سالبة,98.7,ألف دولار
بويات وورنيشات  مذابه فى وسط لامائى,88.9,ألف دولار
اسمنت فوندو ..... الخ,86.9,ألف دولار
?  غراء نشا,85.6,ألف دولار
عجائن طباعه شفافه,78.5,ألف دولار
مطاط مجدد,77.1,ألف دولار
غزل صناعى متعدد تحتوى على 85% من ألياف الإكليريك المستمر غير مهيئه للبيع بالتجزئه,76.1,ألف دولار
بيوتا 1 و 3,73.6,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),71.3,ألف دولار
"مينا واشباه زجاج قابله للتزجج , مزججات للخزف بشكل رقائق ومحضرات مماثلة",70.5,ألف دولار
أجزاء راديو و تليفزيون,69.6,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,67.9,ألف دولار
أدوات و مستلزمات البناء الأخرى من أنواع البلاستيك الأخرى,64.8,ألف دولار
اجزاء ولوازم اخرى لزوم ابدان السيارات,63.8,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),63.4,ألف دولار
لعزل الحراره ?  الصوت,63.1,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,58.4,ألف دولار
,53.6,ألف دولار
جلوكوز و عسل الجلوكوز,52.8,ألف دولار
اسمدة معدنية او كيمائية فوسفاتيةاخرى,52.5,ألف دولار
برتقال طازج أو مجفف,50.4,ألف دولار
أحجار طبيعيه للمبانى مصقوله,48.4,ألف دولار
غيرها من خزانات ودنان وبراميل وصفائح من حديد او صلب سعتها اقل من 50 لتر,46.7,ألف دولار
شامبو وصبغات للشعر),43.6,ألف دولار
بازلياء خضراء,43.5,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,43.3,ألف دولار
وصلات و كيعان و فلانشات لمواسير,42.1,ألف دولار
سجاد نايلون آخر,39.5,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),39.0,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,34.4,ألف دولار
زجاج بللور وزجاج ملون أو زجاج مسطح عادى سادة غير مسلح,34.0,ألف دولار
بلح طازج أو مجفف,32.4,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,29.7,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,28.5,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,28.1,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,25.9,ألف دولار
يوسفى طازج أو مجفف,25.7,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,22.9,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,22.7,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من بوليمرات الكربونيات,21.4,ألف دولار
مرايا الرؤيه الخلفيه للسيارات,19.8,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,19.5,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,18.9,ألف دولار
صلصات ومحضرات مماثله اخرى,16.9,ألف دولار
سوربيتول,16.1,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,14.3,ألف دولار
زيوت عطرية أخرى,13.5,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,12.3,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",12.3,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,11.9,ألف دولار
مجففات محضره,11.3,ألف دولار
سلك المواعين,10.9,ألف دولار
الواح رخام بدون صقل,10.8,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,10.1,ألف دولار
يورانيوم طبيعى و مركباته,10.1,ألف دولار
كرفس طازج أو مثلج,9.9,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,9.0,ألف دولار
تنر (تنر عضوى عادى او مخصوص),8.9,ألف دولار
مكسبات طعم ورائحه,7.8,ألف دولار
بنادق وكربينات الصيد والرمايه,5.5,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,4.9,ألف دولار
سليب رجالى قطن غير مصنره,4.6,ألف دولار
ردياتيرات,4.4,ألف دولار
زيوت عطريه (من موالح) متعدده,4.1,ألف دولار
آلات خلط المواد,3.7,ألف دولار
قنينة كانيولا وادوات مماثلة,3.5,ألف دولار
نجف و ثرايا كريستال و غيرها,2.6,ألف دولار
اغطيه اسره مصنره او كروشيه من الياف نسجيه أخرى,2.5,ألف دولار
ادوات للمائدة والمطبخ بورسلين,2.2,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,1.8,ألف دولار
فوليه),1.5,ألف دولار
زراير بلاستيك,1.4,ألف دولار
اوكسيد الايثيلين,1.4,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,1.0,ألف دولار
ملابس أخرى من أقمشه قطنيه رجالى,1.0,ألف دولار
طرشى),0.8,ألف دولار
عصير برتقال مركز,0.7,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.6,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,0.5,ألف دولار
اقطاب (الكترود) اسلاك وعيدان من بودره معادن عاديه مكتله المستعمله  فى طلاء المعادن بالرش,0.5,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من صوف او من وبر ناعم يدويا,0.3,ألف دولار
مركبات مشعه من اليورانيوم 235 و مركباته,0.3,ألف دولار
اجزاء ماكينه طحين وماكينه الدش,0.2,ألف دولار
بذور خضروات اخرى,0.2,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,0.1,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,0.1,ألف دولار
ذرة صفـراء,0.1,ألف دولار
خليط من مكسبات الطعم و الرائحه,0.0,ألف دولار
سيليكات ثنائيه أو مركبه للمعادن,0.0,ألف دولار
ماكينه حلاقه ذقن كهربائيه,0.0,ألف دولار
مستحضرات اخرى للتعطير او التجميل او الزينة غير مذكورة ولا داخلة فى   مكان اخر,0.0,ألف دولار
