Year,Month,Export Amount
2012,يناير,"41,456,669"
2012,فبراير,"75,052,535"
2012,مارس,"28,346,350"
2012,إبريل,"7,364,489"
2012,مايو,"12,200,372"
2012,يونيو,"12,831,022"
2012,يوليو,"30,086,029"
2012,أغسطس,"37,054,099"
2012,سبتمبر,"144,546,038"
2012,أكتوبر,"79,206,910"
2012,نوفمبر,"49,617,853"
2012,ديسمبر,"22,300,868"
2013,يناير,"82,860,258"
2013,فبراير,"105,816,402"
2013,مارس,"48,615,086"
2013,إبريل,"37,343,996"
2013,مايو,"4,641,801"
2013,يونيو,"4,709,364"
2013,يوليو,"6,018,172"
2013,أغسطس,"2,138,834"
2013,سبتمبر,"5,058,683"
2013,أكتوبر,"5,684,545"
2013,نوفمبر,"4,141,872"
2013,ديسمبر,"5,831,323"
2014,يناير,"4,527,570"
2014,فبراير,"6,740,288"
2014,مارس,"7,951,619"
2014,إبريل,"15,156,247"
2014,مايو,"24,616,005"
2014,يونيو,"13,442,993"
2014,يوليو,"9,942,312"
2014,أغسطس,"6,643,834"
2014,سبتمبر,"7,250,368"
2014,أكتوبر,"5,492,835"
2014,نوفمبر,"14,919,659"
2014,ديسمبر,"19,548,799"
2015,يناير,"41,479,173"
2015,فبراير,"9,125,222"
2015,مارس,"6,028,899"
2015,إبريل,"2,845,448"
2015,مايو,"8,880,421"
2015,يونيو,"3,973,584"
2015,يوليو,"7,116,862"
2015,أغسطس,"6,206,722"
2015,سبتمبر,"4,926,917"
2015,أكتوبر,"18,623,945"
2015,نوفمبر,"5,239,207"
2015,ديسمبر,"4,215,853"
2016,يناير,"4,239,387"
2016,فبراير,"20,788,116"
2016,مارس,"25,368,278"
2016,إبريل,"16,565,886"
2016,مايو,"29,180,771"
2016,يونيو,"31,670,665"
2016,يوليو,"18,991,663"
2016,أغسطس,"21,886,349"
2016,سبتمبر,"17,116,306"
2016,أكتوبر,"18,587,672"
2016,نوفمبر,"16,759,210"
2016,ديسمبر,"5,275,075"
2017,يناير,"32,244,210"
2017,فبراير,"8,574,827"
2017,مارس,"8,719,391"
2017,إبريل,"3,973,459"
2017,مايو,"7,172,202"
2017,يونيو,"6,682,297"
2017,يوليو,"10,982,352"
2017,أغسطس,"9,013,566"
2017,سبتمبر,"5,277,167"
2017,أكتوبر,"5,723,081"
2017,نوفمبر,"10,003,666"
2017,ديسمبر,"5,481,888"
2018,يناير,"6,489,350"
2018,فبراير,"7,956,666"
2018,مارس,"7,199,347"
2018,إبريل,"4,653,703"
2018,مايو,"7,715,543"
2018,يونيو,"7,138,031"
2018,يوليو,"7,270,695"
2018,أغسطس,"6,541,725"
2018,سبتمبر,"11,318,184"
2018,أكتوبر,"7,202,829"
2018,نوفمبر,"15,174,949"
2018,ديسمبر,"8,778,593"
2019,يناير,"6,363,105"
2019,فبراير,"6,992,525"
2019,مارس,"5,714,471"
2019,إبريل,"5,402,206"
2019,مايو,"5,928,726"
2019,يونيو,"7,818,434"
2019,يوليو,"11,201,537"
2019,أغسطس,"7,906,778"
2019,سبتمبر,"8,957,325"
2019,أكتوبر,"6,141,743"
2019,نوفمبر,"5,635,178"
2019,ديسمبر,"5,208,207"
2020,يناير,"4,960,029"
2020,فبراير,"5,312,568"
2020,مارس,"4,630,324"
2020,إبريل,"2,912,318"
2020,مايو,"2,555,628"
2020,يونيو,"6,870,485"
2020,يوليو,"6,487,042"
2020,أغسطس,"4,826,276"
2020,سبتمبر,"5,883,379"
2020,أكتوبر,"7,437,538"
2020,نوفمبر,"11,416,603"
2020,ديسمبر,"10,175,303"
2021,يناير,"5,164,939"
2021,فبراير,"8,213,656"
2021,مارس,"6,873,782"
2021,إبريل,"5,556,325"
2021,مايو,"7,629,527"
2021,يونيو,"18,991,786"
2021,يوليو,"6,608,504"
2021,أغسطس,"14,114,080"
2021,سبتمبر,"19,006,516"
2021,أكتوبر,"11,868,068"
2021,نوفمبر,"7,443,864"
2021,ديسمبر,"10,534,797"
2022,يناير,"7,674,926"
2022,فبراير,"6,103,878"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
