Item,Amount,Value
عجائن اخرى غير محتويه على بيض,297.0,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),290.8,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,248.6,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),65.7,ألف دولار
بولى ميثيل أخرى ? لفائف غير حساسه و لدائن صناعيه,64.1,ألف دولار
نشا ذره,57.0,ألف دولار
الات لتحضير اللحوم او الدواجن,56.5,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,55.4,ألف دولار
برتقال طازج أو مجفف,39.1,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,19.3,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,19.0,ألف دولار
محضرات واصناف صيدليه اخر,4.6,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),3.9,ألف دولار
كروت ذكية,3.6,ألف دولار
معاملات تجميع الدم,2.3,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),0.5,ألف دولار
"اجزاء  من مضخات , مراوح , علب او صناديق التهوية",0.1,ألف دولار
أجهزه للتحليل الطبيعى و الكيميائى,0.0,ألف دولار
