Year,Month,Export Amount
2012,يناير,"2,525,323"
2012,فبراير,"8,643,898"
2012,مارس,"5,795,279"
2012,إبريل,"4,900,581"
2012,مايو,"5,326,309"
2012,يونيو,"5,907,497"
2012,يوليو,"1,628,032"
2012,أغسطس,"1,489,320"
2012,سبتمبر,"2,059,732"
2012,أكتوبر,"1,812,713"
2012,نوفمبر,"4,576,953"
2012,ديسمبر,"945,874"
2013,يناير,"2,901,535"
2013,فبراير,"1,751,973"
2013,مارس,"1,031,344"
2013,إبريل,"2,631,811"
2013,مايو,"1,308,038"
2013,يونيو,"978,480"
2013,يوليو,"1,874,848"
2013,أغسطس,"750,835"
2013,سبتمبر,"1,144,298"
2013,أكتوبر,"1,210,454"
2013,نوفمبر,"1,829,817"
2013,ديسمبر,"2,448,534"
2014,يناير,"4,671,818"
2014,فبراير,"3,437,040"
2014,مارس,"1,919,527"
2014,إبريل,"1,198,339"
2014,مايو,"1,310,990"
2014,يونيو,"2,001,484"
2014,يوليو,"1,516,465"
2014,أغسطس,"2,657,029"
2014,سبتمبر,"3,550,200"
2014,أكتوبر,"990,708"
2014,نوفمبر,"1,767,138"
2014,ديسمبر,"7,087,443"
2015,يناير,"1,149,004"
2015,فبراير,"936,183"
2015,مارس,"1,348,420"
2015,إبريل,"1,887,827"
2015,مايو,"881,357"
2015,يونيو,"2,320,968"
2015,يوليو,"1,237,607"
2015,أغسطس,"1,338,640"
2015,سبتمبر,"935,803"
2015,أكتوبر,"730,903"
2015,نوفمبر,"876,036"
2015,ديسمبر,"724,203"
2016,يناير,"1,085,429"
2016,فبراير,"1,626,116"
2016,مارس,"1,532,710"
2016,إبريل,"1,339,505"
2016,مايو,"1,398,220"
2016,يونيو,"1,275,936"
2016,يوليو,"609,295"
2016,أغسطس,"352,249"
2016,سبتمبر,"652,837"
2016,أكتوبر,"938,520"
2016,نوفمبر,"719,234"
2016,ديسمبر,"1,232,461"
2017,يناير,"3,020,945"
2017,فبراير,"234,809"
2017,مارس,"414,582"
2017,إبريل,"584,227"
2017,مايو,"828,242"
2017,يونيو,"1,077,218"
2017,يوليو,"834,774"
2017,أغسطس,"1,040,493"
2017,سبتمبر,"1,724,356"
2017,أكتوبر,"1,434,430"
2017,نوفمبر,"922,459"
2017,ديسمبر,"2,472,253"
2018,يناير,"769,691"
2018,فبراير,"871,241"
2018,مارس,"870,279"
2018,إبريل,"1,111,756"
2018,مايو,"883,191"
2018,يونيو,"984,865"
2018,يوليو,"822,262"
2018,أغسطس,"1,143,873"
2018,سبتمبر,"1,339,843"
2018,أكتوبر,"1,087,648"
2018,نوفمبر,"1,171,481"
2018,ديسمبر,"1,384,432"
2019,يناير,"566,224"
2019,فبراير,"775,710"
2019,مارس,"665,530"
2019,إبريل,"599,705"
2019,مايو,"852,359"
2019,يونيو,"1,101,710"
2019,يوليو,"817,547"
2019,أغسطس,"1,050,346"
2019,سبتمبر,"660,834"
2019,أكتوبر,"1,017,970"
2019,نوفمبر,"247,795"
2019,ديسمبر,"1,048,452"
2020,يناير,"1,087,755"
2020,فبراير,"472,586"
2020,مارس,"644,572"
2020,إبريل,"201,122"
2020,مايو,"236,412"
2020,يونيو,"905,288"
2020,يوليو,"882,631"
2020,أغسطس,"783,958"
2020,سبتمبر,"1,139,116"
2020,أكتوبر,"474,205"
2020,نوفمبر,"750,066"
2020,ديسمبر,"510,923"
2021,يناير,"564,418"
2021,فبراير,"936,742"
2021,مارس,"1,471,338"
2021,إبريل,"824,851"
2021,مايو,"934,236"
2021,يونيو,"1,394,378"
2021,يوليو,"1,076,824"
2021,أغسطس,"604,666"
2021,سبتمبر,"750,320"
2021,أكتوبر,"703,253"
2021,نوفمبر,"521,032"
2021,ديسمبر,"1,057,406"
2022,يناير,"588,628"
2022,فبراير,"961,557"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
