Item,Amount,Value
عجائن اخرى غير محتويه على بيض,1.2,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",256.0,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,240.7,ألف دولار
إطارات السيارات النقل و الشاحنات,161.8,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,115.9,ألف دولار
غيرها من المربى,103.3,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,65.7,ألف دولار
بولىفينيل اسيتات سائل,65.4,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,57.5,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,56.8,ألف دولار
برادات الشاى و القهوه بالكهرباء,51.9,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,42.4,ألف دولار
برتقال),34.8,ألف دولار
,17.9,ألف دولار
أجزاء الطائرات الأخرى,14.0,ألف دولار
غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,4.4,ألف دولار
بيكربونات كالسيوم,4.0,ألف دولار
احذيه اخرى بمقدمه معدنيه واقيه,0.3,ألف دولار
بلوزه حريمى من القطن غير مصنره,0.2,ألف دولار
احذيه اخرى بنعال خارجيه مطاط او لدائن صناعيه ووجه من نسيج,0.1,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,0.1,ألف دولار
