Year,Month,Export Amount
2012,يناير,"461,689"
2012,فبراير,"241,379"
2012,مارس,"1,000,683"
2012,إبريل,"1,270,950"
2012,مايو,"896,410"
2012,يونيو,"563,152"
2012,يوليو,"1,782,435"
2012,أغسطس,"1,193,532"
2012,سبتمبر,"1,664,050"
2012,أكتوبر,"988,709"
2012,نوفمبر,"711,678"
2012,ديسمبر,"640,431"
2013,يناير,"581,710"
2013,فبراير,"834,438"
2013,مارس,"844,190"
2013,إبريل,"645,258"
2013,مايو,"1,464,317"
2013,يونيو,"525,401"
2013,يوليو,"618,605"
2013,أغسطس,"283,365"
2013,سبتمبر,"680,616"
2013,أكتوبر,"584,851"
2013,نوفمبر,"537,549"
2013,ديسمبر,"737,693"
2014,يناير,"821,153"
2014,فبراير,"1,069,788"
2014,مارس,"1,739,208"
2014,إبريل,"1,972,494"
2014,مايو,"860,966"
2014,يونيو,"884,490"
2014,يوليو,"725,205"
2014,أغسطس,"1,291,476"
2014,سبتمبر,"906,605"
2014,أكتوبر,"1,059,842"
2014,نوفمبر,"1,220,458"
2014,ديسمبر,"1,377,607"
2015,يناير,"1,391,124"
2015,فبراير,"1,562,639"
2015,مارس,"949,779"
2015,إبريل,"1,150,763"
2015,مايو,"1,495,144"
2015,يونيو,"1,426,974"
2015,يوليو,"713,143"
2015,أغسطس,"368,659"
2015,سبتمبر,"505,175"
2015,أكتوبر,"1,231,995"
2015,نوفمبر,"665,731"
2015,ديسمبر,"1,094,269"
2016,يناير,"1,035,181"
2016,فبراير,"774,734"
2016,مارس,"1,013,432"
2016,إبريل,"1,102,848"
2016,مايو,"728,969"
2016,يونيو,"1,140,438"
2016,يوليو,"896,936"
2016,أغسطس,"1,643,346"
2016,سبتمبر,"2,698,471"
2016,أكتوبر,"1,794,067"
2016,نوفمبر,"2,142,205"
2016,ديسمبر,"980,072"
2017,يناير,"3,268,210"
2017,فبراير,"963,812"
2017,مارس,"460,448"
2017,إبريل,"823,601"
2017,مايو,"576,447"
2017,يونيو,"554,560"
2017,يوليو,"977,519"
2017,أغسطس,"1,743,584"
2017,سبتمبر,"789,702"
2017,أكتوبر,"1,667,438"
2017,نوفمبر,"266,245"
2017,ديسمبر,"1,166,849"
2018,يناير,"825,089"
2018,فبراير,"1,284,234"
2018,مارس,"2,384,391"
2018,إبريل,"1,349,449"
2018,مايو,"1,554,299"
2018,يونيو,"1,602,747"
2018,يوليو,"2,209,226"
2018,أغسطس,"2,289,435"
2018,سبتمبر,"1,594,837"
2018,أكتوبر,"1,420,030"
2018,نوفمبر,"509,401"
2018,ديسمبر,"630,948"
2019,يناير,"305,055"
2019,فبراير,"569,457"
2019,مارس,"823,873"
2019,إبريل,"420,107"
2019,مايو,"783,819"
2019,يونيو,"862,646"
2019,يوليو,"728,879"
2019,أغسطس,"780,931"
2019,سبتمبر,"1,567,996"
2019,أكتوبر,"1,491,250"
2019,نوفمبر,"2,416,836"
2019,ديسمبر,"373,487"
2020,يناير,"516,540"
2020,فبراير,"353,491"
2020,مارس,"770,196"
2020,إبريل,"495,415"
2020,مايو,"820,500"
2020,يونيو,"1,786,482"
2020,يوليو,"1,764,022"
2020,أغسطس,"2,517,043"
2020,سبتمبر,"2,548,122"
2020,أكتوبر,"1,834,395"
2020,نوفمبر,"1,878,502"
2020,ديسمبر,"853,886"
2021,يناير,"1,253,607"
2021,فبراير,"1,784,972"
2021,مارس,"1,788,496"
2021,إبريل,"2,901,600"
2021,مايو,"1,134,695"
2021,يونيو,"1,582,786"
2021,يوليو,"1,615,630"
2021,أغسطس,"3,155,196"
2021,سبتمبر,"3,128,272"
2021,أكتوبر,"2,164,836"
2021,نوفمبر,"886,486"
2021,ديسمبر,"3,715,567"
2022,يناير,"1,322,185"
2022,فبراير,"1,725,789"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
